 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,1.35907407,6.20935997,47.80608504,0.80651137,6.85360378,3.43855497,3.56682643,2.63396643,0.82842542,0.86441364,2.20448898,0.94520724,2.05064948,0.49900268,4.19465075,0.89404316,3.5431114,1.7108265,1.71141097,5.30344122,2.39397346,2.94657152,1.71748774,1.18217795,1.18997521,1.08031205,0.66500905,1.29710577,0.44859413,0.61693577,1.19622137,0.94784825,0.86835478,0.56400526,0.64056302,3.19624401,0.73406894,0.61990397,0.74729006,1.9664049,6.24320296,0.74427987,0.70045838,1.14321675,0.89046304,1.39940799,0.88916758,1.44475228,0.78478018,0.45667898,0.79062771,0.54617787,0.60594895,0.62107874,3.06021165,1.04222239,0.51817149,0.40129374,0.56913366,0.40982541,2.91196478,1.66595218,3.36172952,6.65043823,13.86560861,9.84218524,14.87032267,10.78606508,12.60934091,24.12117766,5.67160705,14.05419133,6.92305001,6.6880009,6.06923248,3.36649224,8.8310122,91.68211634,13.74120961,13.1671992,3.65508838,2.10865597,1.90797565,3.72162467,67.6685645,14.03385242,3.97797787,3.24119744,3.62329835,3.67275006,19.59512195,12.87598327,2.42883522,51.91538935,3.05459211,21.18090313,17.56318043,6.94792063,7.41800856,1.94140932,0.92143939,1.24875837,3.45347379,2.37832995,0.36574389,0.23039403,0.81707344,0.11042278,0.35862076,0.34851715,0.17186635,0.05680803,0.22753704,0.22564481,0.27843168,0.26222365,0.24889924,0.79797264,0.82906164,0.46786722,1.24772254,0.73097164,0.40331041,0.29896339,0.48782349,0.48016952,2.12394955,0.08761986,0.25039792,0.4015101,0.1430871,0.32040701,0.1657417,0.10033657,0.20318473,0.15587159,0.25759516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,1.42731717,5.76677777,28.03307105,1.18630334,8.82496402,3.92619265,2.51799144,2.94095921,0.83615853,0.7109818,2.09998971,0.9294566,2.39671575,0.5333819,4.70598945,0.84462789,3.22831453,1.79296836,1.58573186,5.88321801,2.52161884,3.18829995,2.0704914,1.44369009,1.18056307,1.2795127,0.59407223,1.38172264,0.44000679,0.61975739,1.29798721,1.06644132,0.97545799,0.55436527,0.65325558,3.78403485,0.71158401,0.61085712,0.84188937,2.39498939,6.28207278,0.91831131,0.76422224,1.02146874,1.04227512,1.49188937,0.92362128,1.13345262,0.83841047,0.4377543,0.87373183,0.54003056,0.67407135,0.65712635,3.22963351,1.04036829,0.56198288,0.41725432,0.57363838,0.40696593,3.30567032,1.4570604,3.852006,8.11714284,10.07320529,11.54516647,11.56018192,10.27963419,14.86172786,36.08216947,6.42280578,15.48521698,9.83903856,8.97441478,5.23769461,3.57475539,8.67997367,53.44039041,14.58070726,14.87736997,3.3635597,2.66619607,2.04680672,4.26201333,40.63147423,17.31627423,4.04101455,4.22131632,4.90861132,3.02427609,16.719373,12.18765771,3.12031207,44.16825107,3.33143531,21.83162866,18.52416745,5.61048728,5.6485806,2.38421159,1.16222277,1.21970374,4.00250929,2.84284096,0.35211127,0.24335368,0.90987883,0.13127453,0.44387788,0.3997842,0.17022047,0.06186662,0.24641998,0.23757788,0.2747487,0.28601575,0.27930939,0.97875757,0.93935278,0.41661524,1.25812149,0.89336828,0.41864462,0.30942966,0.44709419,0.45437873,2.6383287,0.09153188,0.30891462,0.4446245,0.15052847,0.34222578,0.1601535,0.08912391,0.20392492,0.16805411,0.28788351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,1.49556027,5.44070815,20.92841403,1.41440747,10.98041598,3.67334197,3.1420629,3.3897114,0.89873328,0.82230607,2.33428615,1.03748535,2.57827808,0.58266044,5.03066888,0.91305949,3.35824243,1.95202303,1.60497776,6.18857152,2.69756343,4.02521735,1.84918532,1.3228185,1.52433963,1.4122534,0.60976369,1.44442361,0.52070796,0.64739878,1.79093724,0.99110746,0.98754608,0.59973662,0.59703059,4.16963019,0.75493773,0.61673222,0.90061949,2.2433968,5.24248521,1.03173328,0.67835675,0.93630588,1.13263397,1.59350392,0.87651262,1.14453385,0.89446102,0.46431401,0.88881894,0.53954738,0.65678912,0.81613279,3.41059067,0.94524857,0.66125907,0.43260364,0.60255831,0.42208396,3.21453983,1.53922192,5.58717012,8.75036534,10.67685179,12.72395857,11.39064063,7.07936884,19.24726066,32.17407089,7.71580931,13.17304977,10.11020871,9.26057858,6.2827188,4.11374454,7.72532801,34.43129319,17.9098915,18.94463452,2.55450994,2.53541845,2.29017785,4.64459074,25.69271808,20.14634338,4.30806384,4.1353628,4.8753063,3.1686272,16.2830729,9.01972512,3.55214774,35.28065818,4.54696133,18.96141921,18.66942895,3.53424321,4.49989737,2.32882199,0.95592337,1.12897694,4.64998756,2.69508353,0.42733475,0.26905581,0.79678217,0.12014999,0.5820676,0.47650475,0.17931089,0.06468089,0.21514999,0.22907506,0.30301312,0.30331018,0.29613172,1.21346689,0.89905979,0.39539971,1.20432555,1.23109394,0.43863842,0.3280694,0.48720981,0.46729183,2.95490258,0.09077928,0.32703537,0.39218073,0.17323631,0.44201884,0.1662371,0.11096363,0.23244233,0.20461168,0.36695703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133,1.51603319,5.41909516,20.12917456,1.45890694,11.21047541,3.55390212,3.13226625,3.51301612,0.92064903,0.85358493,2.14027925,1.11047129,2.69102279,0.55166273,5.02454548,1.02880537,3.34461894,2.00899433,1.50514367,6.67302824,2.68229465,4.33842682,1.95420853,1.23629649,1.695523,1.50276798,0.6532025,1.40409546,0.53448737,0.66544015,1.82441025,0.98099628,0.97842851,0.58985739,0.60892521,4.26319911,0.76322527,0.63920129,0.84438231,2.37690832,5.29109435,1.00308066,0.72040984,0.93371902,1.11664735,1.61688162,0.94800879,1.1950732,0.90882187,0.49655261,0.89456683,0.54469181,0.65421475,0.84837133,3.5504543,0.91652693,0.66176662,0.45282897,0.60817421,0.43261092,2.921776,1.5726868,6.18193351,8.9494489,11.15335499,14.20293758,11.57480983,7.01069949,21.15439652,28.91291695,7.81143573,12.13119636,8.75486362,8.08902256,6.50596637,3.90984081,8.32943453,35.38482441,18.27019121,20.99281605,2.34740511,2.6887439,2.55094315,4.70124609,24.7140523,21.26632613,4.45506616,4.00014121,4.83874895,2.90372145,16.87550545,9.66919009,3.46331957,29.15237393,4.7815403,18.72343675,18.10594876,3.6045987,4.39174644,2.17189349,0.91695834,1.23868455,4.28929839,2.65083588,0.44387556,0.27845978,0.81398398,0.11721379,0.58736415,0.48456864,0.19129799,0.06569919,0.21606249,0.23096421,0.30293246,0.3034114,0.2867254,1.19947788,0.9115351,0.41106221,1.24371565,1.22679594,0.43313217,0.33678927,0.49063692,0.50124936,3.00220807,0.08965787,0.32030829,0.4067137,0.17850576,0.44359543,0.16536781,0.120883,0.2303121,0.22445736,0.39720679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,1.521,5.33325403,18.89020129,1.50573295,10.85818252,3.28096541,2.94391391,3.59274433,0.96009748,0.97773245,2.03679908,1.11993938,2.80939151,0.56552964,4.92339388,1.19000489,3.3662553,2.72556302,1.77561114,7.65668436,2.93208197,4.58030173,2.00054615,1.16782665,1.5966184,1.60556904,0.70234306,1.49400626,0.60032153,0.6955062,1.68776421,1.00593199,1.03598401,0.55561882,0.57122763,4.11697103,0.71070354,0.69203593,0.8045593,2.56742966,4.75641823,0.9339602,0.88852549,0.90947247,1.27373722,1.92326145,1.0067939,1.35027239,0.91412976,0.60258831,0.91823049,0.57275279,0.88763037,0.79218776,4.14298233,0.85387663,0.67617588,0.46371399,0.64486348,0.41790884,2.53715283,1.41297791,6.6724887,8.69463194,12.19380165,12.42816516,10.19658307,7.71870152,24.43419202,28.86144064,9.20870125,12.84071021,7.16085264,7.00671109,5.97666005,3.39347483,8.04750471,28.87470741,17.06244357,22.26621488,2.34915097,3.06328059,2.64258984,4.78873638,21.92356977,18.58892487,4.07389532,4.10394643,4.65126262,3.21901285,23.30979434,11.56212837,3.41330925,24.79096051,4.97772821,16.94154449,16.54922659,3.74756777,3.9501387,2.19766623,0.89417145,1.35786314,3.49522192,2.90995888,0.42864588,0.30034634,0.73350046,0.13257049,0.53611491,0.4883128,0.21026015,0.06531423,0.19786325,0.24014484,0.28913007,0.29714638,0.28171685,1.05934738,0.93772899,0.42569207,1.40758518,1.14752112,0.4689236,0.33469043,0.5385945,0.56457307,3.26167759,0.08415557,0.29638013,0.45902073,0.21490587,0.45591252,0.15480671,0.13546411,0.24570465,0.23550783,0.46184251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,1.521,5.50829891,19.8595544,1.52779646,10.62958514,3.79841388,2.59098458,3.45579449,1.01318634,1.25428698,2.70344326,1.12945583,2.26042464,0.65295155,4.681643,1.44373371,4.1835191,2.78207484,2.06834205,8.70712994,3.22699305,5.45451821,2.34335891,1.18783613,1.56690252,1.55580996,0.62428246,1.53794174,0.7103871,0.71333093,1.67541011,1.06286316,1.02114968,0.63868643,0.6190948,4.10791939,0.69311879,0.75961706,0.8452125,2.61691981,4.04458234,0.88100346,1.12050501,0.90700768,1.38401699,2.00656153,1.02521049,1.30547857,1.0035205,0.54798167,0.985085,0.568639,0.90589936,0.80097411,4.35243991,0.88728581,0.67609653,0.46938421,0.68250831,0.47293221,2.68831964,1.47967958,5.00121529,8.48867721,15.85705549,9.81530584,9.40261517,7.02320525,32.58939013,25.6484902,9.74538233,16.48711687,6.56272032,7.47615822,5.08803335,3.9211948,7.10372115,22.92583813,21.48504849,26.09878882,2.65279441,2.91695749,2.41077301,6.21869876,17.74793371,11.8103994,4.57527435,5.59206663,5.83968184,3.48810706,29.88670407,11.67323547,3.63993562,28.91377444,6.10661751,15.43704394,14.4947807,4.41300605,4.4602833,3.05797838,1.01362044,1.1910118,4.13826497,2.91955638,0.44830009,0.3291997,0.73719891,0.13905074,0.48047515,0.49837587,0.23199456,0.0685703,0.18194841,0.25707571,0.27892255,0.3169118,0.30995139,1.05719057,1.01887875,0.40206248,1.45540513,1.25856152,0.49182953,0.35817233,0.5915148,0.54768917,3.00191468,0.08892121,0.31179019,0.3453011,0.24287395,0.52770786,0.15452199,0.15005853,0.30194956,0.22713848,0.48876348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,1.521,5.51135088,20.43966289,1.4860807,10.6120432,4.16770326,1.75254568,3.77332598,1.13804612,1.42177538,2.40265746,1.1106698,1.95133886,0.77400453,4.3035191,1.39085736,4.29038645,2.31634774,2.774325,10.04186197,4.07212839,6.47057533,2.26485102,1.16088733,1.67322291,1.57856991,0.64125659,1.97384379,0.73321214,0.75433273,1.76813242,1.19435614,0.88202116,0.76977509,0.66304468,4.40178582,0.71821557,0.78134955,0.9208573,2.15250191,4.425053,0.91526061,1.21299444,1.00663638,1.61172096,2.18209865,0.94142327,1.28552225,1.0964723,0.52253178,0.92732877,0.7171178,0.90070316,0.80405708,4.27992392,0.9923421,0.63873779,0.51487439,0.71309998,0.51332072,2.87520988,1.32171201,5.20232909,9.40358092,16.34588229,9.40433316,8.56198224,6.2506001,46.17496154,17.46742775,11.33807971,17.23353422,7.33974313,6.88609015,6.03647913,3.84638728,6.98344267,19.58587738,24.34617197,28.42087537,2.20188178,3.04011507,2.98861971,5.84445711,14.89734132,10.31781759,4.86197787,5.24767479,5.584737,3.77535317,23.94300727,15.13967265,3.62499143,23.00790199,7.17048471,14.87467032,12.68572186,4.01484365,3.9228238,3.74431109,1.26740557,1.26959093,4.1460442,2.54139628,0.5248385,0.3512993,0.79930964,0.13827835,0.50793206,0.51814102,0.27337448,0.07810598,0.18704936,0.26611846,0.26950361,0.34345809,0.31499102,0.98437936,1.0259199,0.45132339,1.32520652,1.49605522,0.53197602,0.35727909,0.63049374,0.59173243,2.78398934,0.09937078,0.2954417,0.30857535,0.28803311,0.37087064,0.15249312,0.16642842,0.3228206,0.2579794,0.51666436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17,1.521,5.47573889,20.87567771,1.43629906,9.93914914,4.27556633,1.36950044,4.11936665,1.20818666,1.23999117,2.74616156,1.1932418,2.01152227,0.76988918,4.07995646,1.17551934,4.91333743,2.59283931,2.84546454,11.42594743,4.63781305,7.16283913,1.94519661,1.03783716,1.76837388,1.54654785,0.77033453,1.73561384,0.67666064,0.94171008,1.92896165,1.48961444,0.82920861,0.87451922,0.7741405,4.66661468,0.74347317,0.77180089,1.0663579,2.03383644,5.81764216,1.07782557,1.37772112,1.214793,2.0455707,2.17738568,1.07192193,1.41882704,1.04144531,0.64059538,0.92789567,0.74408935,0.8376064,0.85201833,3.45808534,1.09992297,0.65744781,0.53967154,0.77047327,0.52172377,3.22082921,1.37138261,5.64019006,9.43241301,17.47159111,8.68109439,7.49948512,6.28246732,54.73478818,15.9180224,14.3823165,18.19188953,8.9925717,6.36292221,6.98623447,3.58570421,6.16428746,18.04037306,25.22146565,21.82307473,2.20964517,3.48794718,3.97354676,6.10047711,11.14171678,9.78751463,4.97564144,4.51981144,4.97318027,4.58177966,18.89299239,14.68846986,3.34599564,15.23180248,6.17827191,16.93318478,13.47775387,4.79487818,3.6060946,3.56457619,1.48213434,1.22912932,3.69473998,3.09974549,0.59547881,0.3651511,0.75631533,0.11590946,0.48886013,0.51968959,0.2787695,0.08637087,0.19645856,0.29255924,0.26027207,0.33781223,0.36125133,1.0353798,1.04281937,0.51007098,1.37798361,1.4585062,0.57785122,0.39669079,0.69426872,0.66061877,3.32126841,0.11156621,0.27839817,0.32911815,0.28235527,0.33526827,0.15724028,0.16578941,0.31730784,0.30734246,0.5630667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,1.521,5.27534548,19.06293271,1.45986299,7.98777373,4.12600943,1.34021516,3.63368218,1.25177083,1.15229427,3.01288777,1.3282779,2.259701,0.88663693,4.24431042,1.15258367,4.87704157,2.38683395,2.56665072,14.49351296,4.74660565,5.95547891,2.09851777,1.18615016,1.81972006,1.84441949,0.81597724,1.53160776,0.60951555,1.06779787,2.11664355,1.65570101,0.77544236,0.84147875,0.76017945,4.7438214,0.72897678,0.86403788,1.01005317,2.4100386,6.65675485,1.279376,1.78179717,1.40282408,2.81431167,2.02432832,1.25470818,1.50449609,0.97474991,0.81427225,0.98187674,0.72523435,0.93347707,0.86158494,3.18962794,0.976054,0.78983565,0.4341088,0.74741018,0.52253034,2.67874165,1.5690681,6.22959033,8.5070451,17.58949172,7.7946332,8.29200112,7.87447687,47.50948074,11.51518393,13.60278262,15.46666714,8.81737273,6.99062576,5.64311033,3.55283576,5.13474715,13.34194246,26.16565047,23.7547689,2.16448806,2.9335867,3.31246424,5.80227989,9.15601733,10.12479506,5.87918672,3.20758504,4.37319648,5.04362626,20.79278667,12.4207011,3.63180551,13.06604232,5.20270163,16.5255827,16.15779723,4.5365577,3.80342919,2.9730658,1.48768366,1.23924253,3.10324334,3.61476256,0.58779196,0.37075899,0.84303512,0.10811666,0.49362201,0.51139744,0.27736112,0.08596424,0.18967087,0.30478345,0.26934946,0.31281786,0.37789866,1.10196136,1.24342173,0.51843375,1.39152727,1.19356127,0.68278892,0.40377289,0.76334585,0.66912196,3.28689309,0.11987946,0.33868328,0.39896226,0.28855032,0.29949872,0.15136652,0.1527251,0.28156482,0.28194571,0.50324929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19,1.521,5.06041272,16.98043435,1.50807549,7.57264174,3.26280337,1.31520234,2.87055574,1.2648001,1.06144449,2.9983542,1.19537994,2.49348089,0.96729767,4.15333125,0.95995866,4.27287793,2.29916383,2.14407763,14.69232203,5.94736999,6.50783429,2.26024531,1.29011536,1.72700019,2.47893405,0.83211192,1.76046047,0.59002038,1.16086263,2.37778931,1.51453148,0.81258541,0.70358776,0.87207361,4.51297884,0.85688044,0.83306028,1.18921722,2.70280911,6.0086511,1.227787,2.05820074,1.62699631,2.57905434,2.15645805,1.17181042,1.63584657,0.89514275,0.92615169,0.85096023,0.6706284,1.00362312,0.9311991,3.4650556,1.02492074,0.86478381,0.45495794,0.96522092,0.5183298,2.41256427,1.37354287,6.12882985,6.81742543,17.72687126,7.11793788,8.92836963,6.90647483,34.37885185,9.69596261,14.54820168,13.32675785,9.99859998,8.0699028,4.53375418,3.60934185,4.72526198,10.68715802,29.09603236,22.52983168,2.58990541,2.26696212,3.52639504,5.30325369,7.86554224,6.8155153,6.69507592,3.59125971,4.21051661,5.34256568,22.18252753,9.34461461,3.59777827,12.95653332,4.69259912,14.17988861,21.82216921,3.99964358,3.74905056,3.15957607,1.117292,1.47157182,3.78726487,3.67215952,0.55500611,0.37793385,0.84652777,0.10824769,0.53299082,0.47470003,0.22688565,0.08865967,0.17015424,0.31853093,0.3026437,0.31198435,0.34595673,1.02325838,1.43351302,0.48514178,1.3252027,1.05184848,0.69283903,0.4297088,0.85673437,0.71333221,3.00441012,0.12585938,0.35113806,0.39484132,0.26078589,0.39889899,0.1582496,0.13976457,0.26927887,0.30951246,0.49304897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.521,4.91567206,16.27351763,1.48485609,6.73219076,3.05312431,1.43144384,2.37060695,1.22852594,0.98084137,3.04182529,1.12657942,2.76253053,0.89035312,4.27165844,0.92025652,4.21903471,2.15121796,1.84172865,15.00484704,6.58162895,6.21261007,2.14485121,1.3523728,1.92729476,2.5486769,0.797688,2.00302581,0.61729622,1.21937514,2.61601251,1.32311062,0.81344226,0.75009753,1.13732569,4.142037,0.94778412,0.87035762,1.35986132,2.66917517,6.24755938,1.30882566,1.77464448,1.72312931,2.4023017,2.11085214,1.31436241,1.54494633,0.9609625,0.77472636,0.89296682,0.69092307,0.95582663,0.90345409,3.49535389,1.20331184,0.90892089,0.46949687,0.96526469,0.47747267,2.42634571,1.27877035,4.99518349,7.23282605,18.420332,6.94942932,8.45187818,6.1298596,27.75841688,9.6622632,12.27797478,13.80121778,8.04176816,7.5069591,4.21542476,3.70413427,5.10427839,10.98596672,32.13882568,20.37488384,2.42380177,2.12654175,3.04632617,4.50977315,7.38388189,4.7456767,6.47890687,3.83795876,4.14591029,5.2826726,21.49358224,7.29909554,4.66774236,13.61349374,5.2110809,14.91374721,22.36731192,4.08558227,3.32911122,3.43135425,1.09446504,1.42217698,4.21149032,3.8026935,0.56661902,0.3732324,0.76843152,0.10819981,0.57250316,0.46273419,0.23992998,0.08250398,0.17905926,0.35025151,0.3488919,0.33607209,0.32076684,1.07337318,1.50957489,0.48253844,1.4913635,1.12575328,0.72599942,0.45791804,0.94880099,0.68875004,3.73651691,0.12566414,0.39312086,0.38518268,0.27190783,0.34986582,0.14711229,0.1581193,0.27961389,0.34268224,0.48998449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22,1.521,4.552716,14.82748641,1.39789189,4.6742279,3.19920586,1.33681089,2.6895432,1.65241431,0.75424534,3.10343758,1.22182951,2.95754582,0.89305259,4.65613675,0.85680404,5.08626318,2.41136343,2.10155384,11.1006336,4.85816769,4.10811166,2.18275037,1.19000817,1.72544974,1.96915701,0.86760841,2.03890064,0.57912692,1.6259591,1.94826304,1.39743613,0.90601377,0.82146348,1.25226753,3.6242958,1.05034776,0.89764732,1.59401223,2.99626669,6.61671911,1.3299829,1.38758827,1.6832682,2.44153403,1.89368664,1.20623782,1.90211573,1.14914771,0.72686365,1.25972107,0.8833333,0.94080493,0.69137849,3.53501959,1.61034891,0.91245491,0.40663098,0.82246394,0.49586805,2.34022472,1.30784882,4.20082714,7.14781607,15.17314793,4.83938183,9.26203479,6.13738552,19.42627025,10.2857463,12.2386397,12.21484309,6.89594738,7.80913689,3.24281988,3.41771551,4.93066979,9.23836229,35.8106461,18.16382104,2.18328265,2.29805625,3.6169124,5.42886476,4.90118734,4.3593092,5.32028892,3.77637368,3.81186027,5.07380846,16.5787163,5.62603687,5.51107589,12.43025855,6.28620064,13.52837562,22.07685285,4.33980004,3.48749739,2.7061328,1.5505093,1.80498839,2.94026548,3.32817093,0.58938127,0.36069434,0.73317162,0.09246167,0.46356791,0.40346041,0.26565647,0.0928263,0.25113534,0.36551117,0.41406873,0.4049212,0.32370492,1.06210549,1.39036949,0.53454374,1.57814682,0.95028222,0.92718724,0.47456547,0.78514792,0.61623586,3.6464723,0.11806806,0.42379055,0.43607146,0.3071165,0.29339901,0.12960592,0.17203284,0.2805037,0.29024676,0.44939982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
